Oklahoma,Comanche,6,0,120749
Oregon,Benton,6,0,93053
Oregon,Jackson,6,0,220944
Pennsylvania,Wayne,6,0,51361
South Carolina,Aiken,6,0,170872
Tennessee,Blount,6,0,133088
Tennessee,Bradley,6,0,108110
Tennessee,Cumberland,6,0,60520
Tennessee,Loudon,6,0,54068
Tennessee,Sevier,6,0,98250
Tennessee,Sullivan,6,0,158348
Texas,Castro,6,0,7530
Texas,Ellis,6,0,184826
Utah,Washington,6,0,177556
Vermont,Franklin,6,0,49402
Vermont,Lamoille,6,0,25362
Virginia,Williamsburg city,5,1,14954
Wisconsin,Columbia,6,0,57532
Wisconsin,Dodge,6,0,87839
Wisconsin,Jefferson,6,0,84769
Wisconsin,Winnebago,6,0,171907
Alabama,Baldwin,5,0,223234
Alabama,Jackson,4,1,51626
Alaska,Kenai Peninsula Borough,5,0,58708
Arkansas,Lincoln,5,0,13024
California,Butte,5,0,219186
Florida,Charlotte,5,0,188910
Georgia,Pickens,4,1,32591
Hawaii,Hawaii,5,0,201513
Hawaii,Kauai,5,0,72293
Illinois,Clinton,5,0,37562
Indiana,Dearborn,4,1,49458
Indiana,Grant,5,0,65769
Indiana,Jasper,4,1,33562
Indiana,Jennings,5,0,27735
Indiana,Lawrence,5,0,45370
Indiana,Vigo,4,1,107038
Iowa,Cedar,5,0,18627
Iowa,Poweshiek,4,1,18504
Iowa,Tama,5,0,16854
Kansas,Reno,5,0,61998
Kansas,Shawnee,5,0,176875
Kentucky,Clark,5,0,36263
Kentucky,Hardin,5,0,110958
Kentucky,Madison,5,0,92987
Louisiana,Allen,5,0,25627
Louisiana,East Feliciana,5,0,19135
Maine,Lincoln,5,0,34634
Maryland,Washington,5,0,151049
Minnesota,Dodge,5,0,20934
Minnesota,St. Louis,5,0,199070
Minnesota,Stearns,5,0,161075
Minnesota,Steele,5,0,36649
Minnesota,Wright,5,0,138377
Mississippi,Lawrence,5,0,12586
Mississippi,Sunflower,5,0,25110
Missouri,Platte,5,0,104418
Nebraska,Washington,5,0,20729
New Mexico,McKinley,5,0,71367
New York,Montgomery,5,0,49221
New York,Otsego,5,0,59493
North Carolina,Alamance,5,0,169509
North Carolina,Carteret,5,0,69473
North Carolina,Franklin,5,0,69685
North Carolina,Randolph,5,0,143667
Ohio,Ashtabula,5,0,97241
Ohio,Defiance,5,0,38087
Ohio,Marion,5,0,65093
Oklahoma,Muskogee,5,0,67997
Oklahoma,Osage,5,0,46963
Pennsylvania,Franklin,5,0,155027
Rhode Island,Bristol,5,0,48479
Tennessee,Jefferson,5,0,54495
Texas,Hockley,5,0,23021
Utah,Cache,5,0,128289
Utah,Tooele,5,0,72259
Vermont,Rutland,5,0,58191
Virginia,Chesapeake city,5,0,244835
Virginia,Hampton city,5,0,134510
Virginia,Harrisonburg city,5,0,53016
Virginia,Louisa,5,0,37591
Washington,Clallam,5,0,77331
Washington,Douglas,5,0,43429
